,feature,importance
456,ATP6,0.8386019
10201,Mtk,0.6924415
13618,Yp3,0.64139897
13616,Yp1,0.6010649
658,BomS6,0.5598183
9180,IM14,0.5371341
7477,COX1,0.42053714
7478,COX2,0.41225004
5796,CG45080,0.41081122
10483,ninaE,0.38578743
9902,Met75Cb,0.3546452
10204,MtnA,0.31144693
10155,Mst57Db,0.30206576
13617,Yp2,0.29554024
459,ATP8,0.28375348
13538,whe,0.25933656
7479,COX3,0.2352518
7777,CYTB,0.22280058
654,BomS2,0.21978351
11843,RpL41,0.2171917
376,Arr1,0.20795141
4797,CG34324,0.20387357
10571,Nplp2,0.2038197
11840,RpL39,0.18835975
657,BomS5,0.17691891
10676,Obp44a,0.17486475
6384,CG6503,0.16885868
3398,CG18628,0.1542946
4725,CG34220,0.15073669
8056,Dro,0.14232965
2472,CG14645,0.13789092
377,Arr2,0.1348388
9183,IM4,0.12973939
11839,RpL38,0.12894756
243,alphaTry,0.1283932
3299,CG18067,0.12332516
10572,Nplp3,0.11920259
97,Acp98AB,0.11789179
655,BomS3,0.11412808
96,Acp95EF,0.11385775
9374,Jon99Ciii,0.11286723
653,BomS1,0.11044625
13450,Vm34Ca,0.109102435
5417,CG43147,0.107486315
13094,Tsf1,0.10568175
7886,dhd,0.105514154
3010,CG16826,0.104988046
4986,CG3906,0.10065712
4718,CG34212,0.09847889
10382,ND3,0.09510861
6883,CG8329,0.09373919
8172,eEF1alpha1,0.093125366
13438,vir-1,0.092447884
5329,CG42852,0.09106604
9182,IM33,0.0861935
8063,Drs,0.08586255
1522,CG12158,0.08469114
6885,CG8343,0.084661774
5156,CG42481,0.08277871
13005,TotA,0.07847995
7728,Cyp4g1,0.07805335
9008,His4r,0.07521721
12195,Sfp60F,0.07170873
8151,EbpII,0.06973569
11853,RpLP1,0.06963659
5778,CG45045,0.06923703
5286,CG42782,0.069088295
8033,DptA,0.06890937
7276,CG9928,0.06853626
8152,EbpIII,0.06846139
334,Arc1,0.06728194
11825,RpL29,0.067237504
913,CecA1,0.06658219
467,ATPsynC,0.06551228
11903,RpS30,0.06537226
91,Acp54A1,0.065134406
4684,CG34172,0.06493505
11887,RpS19a,0.06314897
11892,RpS23,0.06288769
12158,sesB,0.06269453
11671,Rh4,0.062428728
11878,RpS12,0.061304092
5410,CG43134,0.060835406
267,Amy-p,0.0598077
9000,His2A:CG31618,0.058837306
11837,RpL37A,0.058131408
11650,retinin,0.058042984
11836,RpL37a,0.057883363
10989,Pdh,0.05762102
11901,RpS29,0.057047777
7493,Cp15,0.056955893
6890,CG8369,0.05666472
137,Adh,0.055194233
7229,CG9759,0.053593133
9736,LysD,0.053593013
11833,RpL35A,0.053371206
9193,IMPPP,0.052001353
11806,RpL13,0.051951554
11817,RpL23,0.050715934
8093,Dup99B,0.050681945
1087,CG10570,0.050642878
11812,RpL18A,0.05034787
8588,gammaTry,0.04998255
1256,CG11211,0.049668588
11897,RpS27A,0.049506284
12062,Scp1,0.049210433
11823,RpL27A,0.048689704
11829,RpL32,0.04842327
11904,RpS3A,0.047693353
10692,Obp56g,0.047594596
11832,RpL35,0.047398586
8034,DptB,0.04729435
10123,Ms,0.04728223
8730,Gnmt,0.04624639
11808,RpL14,0.04599535
11828,RpL31,0.045646805
8664,Ggamma30A,0.044816464
9658,Listericin,0.04441608
11895,RpS26,0.044333566
10380,ND1,0.044264328
597,betaTry,0.044225324
9181,IM18,0.044125777
8432,Fer2LCH,0.043972336
9368,Jon65Aiii,0.043757282
8456,fit,0.043655314
13446,Vm26Aa,0.043472867
11818,RpL23A,0.04328153
9603,lcs,0.043201063
604,BG642312,0.043129366
11854,RpLP2,0.042834837
13007,TotC,0.042762406
9722,Lsp2,0.04237608
652,BomBc3,0.04232127
794,Cam,0.042171553
9132,IA-2,0.04180849
12635,sta,0.041799136
5912,CG4716,0.041756753
11884,RpS16,0.041489203
4678,CG34166,0.041458704
12202,Sfp87B,0.041333232
10154,Mst57Da,0.04120746
11670,Rh3,0.041137666
11893,RpS24,0.0408792
656,BomS4,0.04045758
11848,RpL7A,0.040332444
7157,CG9512,0.04030513
11811,RpL18,0.0401946
3765,CG3088,0.040162545
9912,Mf,0.039994475
1913,CG13315,0.03995813
10715,Obp99b,0.039933734
11814,RpL21,0.039743125
101,Act57B,0.039663274
