,feature,importance
10205,MtnB,0.18468718
2291,CG14245,0.09475003
7719,Cyp4d1,0.0895133
0,Sex_Female,0.08593519
1806,CG13069,0.08369752
3,Sex_mixed,0.079261966
8063,Drs,0.079216205
5788,CG45069,0.07811024
1548,CG12256,0.07809569
2506,CG14715,0.074449226
8456,fit,0.071130276
211,Alp2,0.0703495
10475,NimC1,0.06986984
866,Ccp84Ag,0.0694685
10244,Mur18B,0.0661398
3683,CG30289,0.06530925
8231,eIF4E6,0.06514115
10123,Ms,0.06454811
1410,CG11741,0.06349278
1695,CG12826,0.063151576
6269,CG6034,0.06242789
659,BomT1,0.061952144
3318,CG18180,0.061498806
1140,CG10799,0.061463304
11307,PPO2,0.06088109
657,BomS5,0.06044162
2,Sex_Unknown,0.05971605
5410,CG43134,0.059478953
6761,CG7916,0.059476476
6569,CG7227,0.059412904
620,Bin1,0.059081342
7211,CG9689,0.058772847
5397,CG43114,0.0587642
3612,CG30059,0.058361653
11306,PPO1,0.058025498
4462,CG33307,0.057400167
10208,MtnE,0.057167105
5280,CG42764,0.056325942
5668,CG44006,0.056160063
8106,dysf,0.05582501
3735,CG30431,0.05549477
5921,CG4757,0.05472994
660,BomT2,0.054641712
5393,CG43109,0.053580523
2972,CG16713,0.053493813
1831,CG13116,0.053172685
9373,Jon99Ci,0.05303095
11470,Pxt,0.051969018
10420,Nepl15,0.051500954
12624,ssp7,0.05115728
8343,ETH,0.050900284
11106,phm,0.05087019
5708,CG44259,0.050787468
10828,Orcokinin,0.050008204
8038,Dr,0.04864105
656,BomS4,0.048480432
6464,CG6839,0.048370376
9180,IM14,0.048201725
8817,Gr98a,0.04816716
11308,PPO3,0.047537055
13595,yellow-f,0.047483794
6767,CG7953,0.047392335
2317,CG14300,0.047303215
6159,CG5639,0.04710866
12220,Sgsh,0.047040444
10201,Mtk,0.04698924
4020,CG31777,0.04679025
6356,CG6403,0.046582814
6629,CG7409,0.046559013
8481,FMRFa,0.046384305
10382,ND3,0.04613377
1709,CG12868,0.045936886
964,CG10126,0.045926463
8866,GstE1,0.045634508
11014,Pepck1,0.045572825
11447,Ptth,0.04553447
13389,ver,0.04496992
10915,Pabp2,0.044778906
5998,CG5023,0.044575214
3050,CG17002,0.04455148
4748,CG34253,0.04449685
7559,Cpr67Fa1,0.044392917
7919,DIP-iota,0.04433834
8830,grim,0.044329107
8796,Gr61a,0.04418609
7757,Cyp9b1,0.044147298
9362,Jon25Bi,0.043993715
7545,Cpr64Ac,0.043964323
5666,CG44004,0.04362772
9306,Irbp,0.043466263
13555,wrapper,0.043254375
9307,Irbp18,0.04291112
7026,CG8997,0.0427628
1809,CG13071,0.04275247
8321,Ercc1,0.042703852
8085,Dtg,0.042606413
9308,Irc,0.042429198
13584,Xrp1,0.042364802
1,Sex_Male,0.042004574
6110,CG5418,0.04178345
4260,CG32536,0.0415782
6161,CG5644,0.041232906
7205,CG9673,0.041168448
4789,CG34305,0.04075304
8546,fw,0.040641528
1989,CG13502,0.04057532
10560,Npc2c,0.040571652
7762,Cyp9h1,0.040482372
9742,lz,0.04041909
11853,RpLP1,0.040129498
4800,CG34328,0.04008409
5023,CG40470,0.040067323
3392,CG18598,0.040005423
4486,CG33460,0.039983634
4104,CG32032,0.03985065
8588,gammaTry,0.039792445
2264,CG14187,0.039676044
4936,CG3699,0.039625272
12290,Sirup,0.0395738
1868,CG13215,0.03951108
2924,CG15870,0.039426927
8283,emc,0.039413482
7734,Cyp6a13,0.039398726
9414,Kdm4B,0.03939737
12344,slp1,0.03933432
6349,CG6356,0.03929662
4721,CG34215,0.039290927
7276,CG9928,0.039162163
13434,vilya,0.03912218
8650,Gel,0.03901565
