,feature,importance
10205,MtnB,0.12130147
10915,Pabp2,0.05470303
11306,PPO1,0.054043002
9600,Lcp65Ag2,0.052948344
5122,CG42365,0.050683867
6682,CG7632,0.05039109
3391,CG18596,0.049650017
4900,CG3568,0.04960868
8876,GstE6,0.04917309
6110,CG5418,0.049104154
7559,Cpr67Fa1,0.049080282
13291,Ugt37A3,0.045640733
7719,Cyp4d1,0.04504864
657,BomS5,0.044625316
7734,Cyp6a13,0.04444097
13595,yellow-f,0.04432978
8231,eIF4E6,0.04426462
5668,CG44006,0.04405376
10201,Mtk,0.04356896
10453,Nfs1,0.043102596
3726,CG30414,0.043096785
2745,CG15353,0.042490542
3683,CG30289,0.04240939
12717,sun,0.042365562
1806,CG13069,0.04235926
866,Ccp84Ag,0.042116906
6231,CG5897,0.04196098
5788,CG45069,0.04183526
8718,GlyS,0.0416467
8041,drd,0.04151282
3694,CG30345,0.041460562
7486,COX6B,0.041359812
11470,Pxt,0.041305736
11307,PPO2,0.041070558
8796,Gr61a,0.041036922
1580,CG12379,0.040667724
3619,CG3008,0.040595464
9023,Hmgs,0.040478874
10208,MtnE,0.04040085
13253,udd,0.040351547
2568,CG14866,0.040183455
257,Amnionless,0.040070634
7762,Cyp9h1,0.039580237
620,Bin1,0.03953334
9306,Irbp,0.03931547
475,ATPsynG,0.039111674
6696,CG7692,0.038908582
7131,CG9399,0.038714647
4028,CG31793,0.038492825
7489,COX7C,0.038334142
3183,CG17544,0.038302366
8063,Drs,0.037612434
10343,ND-18,0.037496794
6211,CG5849,0.037458606
9490,Ku80,0.03716145
13266,Ugt301D1,0.037137736
1445,CG11882,0.037129134
10267,Myd88,0.036897276
11809,RpL15,0.03687112
211,Alp2,0.036870766
12773,Syx8,0.036855467
10903,p38a,0.0368467
1548,CG12256,0.036797073
9353,JhI-26,0.036688324
1341,CG11459,0.0366706
5998,CG5023,0.03664082
2975,CG16721,0.03658913
4862,CG34456,0.036237765
9167,IKKbeta,0.03618325
7139,CG9436,0.0357481
8481,FMRFa,0.035734124
8884,GstT1,0.03568459
6977,CG8768,0.035646934
4387,CG33107,0.035466056
10370,ND-B17,0.03539284
504,b,0.035304207
5189,CG42561,0.035287473
7757,Cyp9b1,0.035149407
4488,CG33462,0.035142157
3595,CG30022,0.03510954
4492,CG33468,0.034659717
9318,IscU,0.03465471
2033,CG13607,0.034644663
5921,CG4757,0.03456531
4719,CG34213,0.034528386
8343,ETH,0.03451258
12220,Sgsh,0.034459878
4197,CG32280,0.034407977
4288,CG32640,0.03434993
9993,Mmp1,0.034320824
472,ATPsynE,0.034278713
7211,CG9689,0.034200072
226,alpha-Est5,0.03414504
659,BomT1,0.033867616
10420,Nepl15,0.033738855
6569,CG7227,0.03372029
1510,CG12116,0.033680864
11482,QIL1,0.03362003
8546,fw,0.03351434
7975,DNApol-zeta,0.03348083
1411,CG11752,0.033374414
7747,Cyp6d2,0.03332567
12985,Tom,0.033324763
9315,Irp-1B,0.033279058
3,Sex_mixed,0.03322323
7635,Ctl1,0.033201758
2864,CG15643,0.033172086
8422,FeCH,0.033149943
8737,gol,0.03312329
8321,Ercc1,0.033121604
6936,CG8563,0.033081356
5410,CG43134,0.033078767
8082,dsx,0.033042926
4462,CG33307,0.032908563
1410,CG11741,0.032647032
8609,gb,0.032637067
3207,CG17646,0.032591917
652,BomBc3,0.03253004
11249,porin,0.032485556
2542,CG14817,0.032374557
12471,Sp7,0.032338884
13331,UQCR-14,0.032270543
654,BomS2,0.03223696
7219,CG9717,0.03222308
829,Catsup,0.032198247
12944,tj,0.03217672
9912,Mf,0.03211498
660,BomT2,0.03209958
9307,Irbp18,0.03205355
10344,ND-19,0.031987876
8120,E(spl)mbeta-HLH,0.03195827
5950,CG4872,0.03191012
8106,dysf,0.031863157
4660,CG34132,0.031859037
10956,Pbgs,0.031750754
4074,CG31917,0.031729046
4104,CG32032,0.03167422
1709,CG12868,0.031636447
13389,ver,0.03143836
6035,CG5126,0.03129569
6084,CG5326,0.03129295
6318,CG6231,0.03126156
9159,IFT43,0.03120354
2650,CG15093,0.031189071
8057,Droj2,0.031182377
6783,CG8004,0.031148529
11739,RNaseX25,0.0310807
