,feature,importance
10194,MtnB,0.10520327
11295,PPO1,0.061888054
6671,CG7632,0.049979888
9589,Lcp65Ag2,0.04698401
5111,CG42365,0.04637895
6099,CG5418,0.046223007
4889,CG3568,0.046176367
13584,yellow-f,0.045412477
12706,sun,0.04489382
1569,CG12379,0.044146635
2734,CG15353,0.043922868
8052,Drs,0.043624777
3380,CG18596,0.043608382
11296,PPO2,0.04351325
7723,Cyp6a13,0.04349438
8865,GstE6,0.042828057
5657,CG44006,0.042811986
10904,Pabp2,0.042368315
1330,CG11459,0.041484177
2557,CG14866,0.041246563
7708,Cyp4d1,0.041161373
7751,Cyp9h1,0.041077197
13280,Ugt37A3,0.040988192
7548,Cpr67Fa1,0.040766444
6258,CG6034,0.040718332
8707,GlyS,0.04060341
9479,Ku80,0.040468544
8785,Gr61a,0.040330965
10442,Nfs1,0.04032663
818,Catsup,0.04026714
855,Ccp84Ag,0.04019183
12762,Syx8,0.040186692
1795,CG13069,0.040175308
646,BomS5,0.040128328
5777,CG45069,0.04012669
6685,CG7692,0.039945494
8030,drd,0.039910454
3683,CG30345,0.039715666
3608,CG3008,0.0396719
10190,Mtk,0.039287325
246,Amnionless,0.03918324
10892,p38a,0.039173447
200,Alp2,0.03904133
9012,Hmgs,0.038969796
3584,CG30022,0.038957022
3172,CG17544,0.038401403
7624,Ctl1,0.03839014
8332,ETH,0.03803352
609,Bin1,0.038008038
13242,udd,0.03796676
11238,porin,0.03747895
7475,COX6B,0.03728661
6220,CG5897,0.037222672
11798,RpL15,0.03721191
3672,CG30289,0.037098184
5987,CG5023,0.037092037
10359,ND-B17,0.03703084
7746,Cyp9b1,0.036928445
4481,CG33468,0.03688394
10332,ND-18,0.036651522
215,alpha-Est5,0.03656395
13255,Ugt301D1,0.036415238
1537,CG12256,0.03613893
7200,CG9689,0.035685398
8598,gb,0.035665207
1434,CG11882,0.035564117
4940,CG3740,0.035555214
7120,CG9399,0.035538845
8495,Frl,0.03544296
8535,fw,0.03537655
4017,CG31793,0.03513063
6925,CG8563,0.035027154
4188,CG32284,0.03491796
10409,Nepl15,0.03476974
9342,JhI-26,0.034626324
11471,QIL1,0.03456287
7964,DNApol-zeta,0.0344104
3715,CG30414,0.03440909
440,atk,0.034372732
1161,CG10916,0.034232024
10256,Myd88,0.03420621
3196,CG17646,0.034164593
10197,MtnE,0.03415251
336,Argl,0.03394222
5178,CG42561,0.033865303
8855,GstE1,0.033803966
4708,CG34213,0.03372586
461,ATPsynE,0.033670295
9295,Irbp,0.03358038
10945,Pbgs,0.0334575
2964,CG16721,0.033283833
7534,Cpr64Ac,0.0332616
2022,CG13607,0.033187535
4277,CG32640,0.03317699
8220,eIF4E6,0.0331188
4376,CG33107,0.03304681
8873,GstT1,0.03296891
4451,CG33307,0.032953016
8292,EndoGI,0.03293742
3458,CG2076,0.0328807
11459,Pxt,0.03279664
13378,ver,0.032743536
6966,CG8768,0.032721516
8419,Fer1HCH,0.032700326
8411,FeCH,0.032613203
8577,gammaTry,0.03257141
5399,CG43134,0.0325647
6024,CG5126,0.032497715
6793,CG8066,0.032431204
6200,CG5849,0.03241804
566,Bet1,0.03196503
3724,CG30431,0.03189742
9156,IKKbeta,0.031859424
2639,CG15093,0.03184318
9559,LanB1,0.03175351
1857,CG13215,0.03167464
9307,IscU,0.031557668
464,ATPsynG,0.031541947
8325,Est-6,0.031469375
7704,Cyp4ac3,0.03133507
953,CG10126,0.03131151
3648,CG30195,0.031115212
4093,CG32032,0.031086184
3558,CG2909,0.031032894
9147,IFT20,0.0310225
7478,COX7C,0.030948833
398,asrij,0.030870438
9003,Hlc,0.030805029
648,BomT1,0.030789971
6073,CG5326,0.030788066
9304,Irp-1B,0.030745426
10684,Obp57a,0.030734442
4063,CG31917,0.03067441
6018,CG5110,0.030646227
7683,Cyp305a1,0.030570194
11149,Pino,0.030478708
6148,CG5639,0.030445503
4649,CG34132,0.030407174
6307,CG6231,0.030316908
5910,CG4757,0.030299796
5126,CG42394,0.030296644
12209,Sgsh,0.03025601
7401,cnc,0.030249396
8558,Gadd45,0.0301847
10320,Nc73EF,0.030145839
6558,CG7227,0.02998984
8470,FMRFa,0.029959895
643,BomS2,0.02987647
9296,Irbp18,0.029853914
4631,CG34054,0.02982832
1399,CG11741,0.029801503
4249,CG32536,0.029798523
237,Alr,0.029767347
11816,RpL30,0.029698912
7736,Cyp6d2,0.029625772
9982,Mmp1,0.02961444
649,BomT2,0.029526068
12460,Sp7,0.029466648
6937,CG8620,0.029444871
7057,CG9154,0.029432623
13636,Zip42C.2,0.029410943
12711,Surf1,0.029403005
1698,CG12868,0.029372143
1497,CG12112,0.029341843
12477,SpdS,0.02933894
5273,CG42780,0.029325468
8310,Ercc1,0.029298106
8868,GstE9,0.029247181
4896,CG3597,0.029216183
11728,RNaseX25,0.029196938
11411,psh,0.029141115
10034,Mrp4,0.029081311
10657,obe,0.029080274
8806,Gr98a,0.02907081
11230,Pomp,0.029062685
11450,Pvf2,0.029045543
6156,CG5665,0.029005654
642,BomS1,0.028991744
7208,CG9717,0.028973056
11931,RtcB,0.028952494
1820,CG13116,0.028926076
5939,CG4872,0.028919103
2853,CG15643,0.02890958
11620,ref(2)P,0.028897677
3270,CG17931,0.028883586
9846,MED28,0.028867926
1499,CG12116,0.028858598
9901,Mf,0.028827034
1604,CG12520,0.028797342
5731,CG4452,0.028755682
11010,Pex1,0.028723491
8726,gol,0.028714992
3577,CG30001,0.028709318
6906,CG8501,0.028687764
4186,CG32280,0.028604848
5739,CG4461,0.028589511
1244,CG11200,0.028491983
4477,CG33462,0.028469834
1902,CG13315,0.028440204
7922,dj-1beta,0.028379893
10333,ND-19,0.028343191
8294,EndoU,0.028326431
12933,tj,0.02831787
13050,trk,0.028316347
3793,CG31102,0.028297488
335,Argk,0.028297361
13573,Xrp1,0.028283967
1425,CG11842,0.028274892
9075,Hsc70-3,0.028262671
9148,IFT43,0.028204227
1400,CG11752,0.028202996
5981,CG5004,0.028129036
493,b,0.028126303
2495,CG14715,0.028094985
1129,CG10799,0.028082108
3779,CG31075,0.02807699
8109,E(spl)mbeta-HLH,0.028047968
7671,Cyp12c1,0.028007668
10963,Pcp,0.028004425
8715,GNBP1,0.027959162
11095,phm,0.027928153
11343,prel,0.027892802
10164,Mtap,0.027884485
6526,CG7130,0.027871013
8867,GstE8,0.027846696
11486,Qtzl,0.027827302
9169,IM14,0.027812185
6434,CG6762,0.027806798
7469,COX4,0.02778735
2612,CG15019,0.027770052
2531,CG14817,0.027761227
7472,COX5B,0.02774561
281,AnxB11,0.02774372
13504,Wdfy2,0.02768117
1102,CG10672,0.02766361
8198,eIF3a,0.02764288
12207,Sgs7,0.02761961
13203,TyrRS,0.027566804
3307,CG18180,0.027557008
10360,ND-B17.2,0.027542956
12975,Tom20,0.02753196
11709,Rim2,0.027519537
5800,CG4537,0.027459336
4925,CG3699,0.027425464
9752,MAGE,0.027354699
8662,Gip,0.027334696
4851,CG34456,0.027322799
6618,CG7409,0.027313529
10464,NimC1,0.0272825
463,ATPsynF,0.027264489
11536,rad50,0.027256224
2097,CG13775,0.02725264
3275,CG17982,0.027248444
7027,CG9034,0.027227344
8272,emc,0.027220234
11053,Pgk,0.02717128
8897,h,0.027156435
8071,dsx,0.027137358
10364,ND-MLRQ,0.0271079
3078,CG17141,0.027077883
12105,Sec61beta,0.027052784
10384,Neb-cGP,0.027011288
12533,spok,0.026970305
7634,cu,0.026951728
10331,ND-15,0.026943892
11127,PIG-H,0.026938044
10181,mthl15,0.026930926
6507,CG7054,0.026908986
10361,ND-B18,0.026856914
13457,Vps28,0.026842095
12804,Tango9,0.026834322
641,BomBc3,0.026834123
12974,Tom,0.026811995
6290,CG6171,0.026805304
12147,sesB,0.026801083
7839,Den1,0.026780726
3090,CG17187,0.026750416
2208,CG14075,0.02673483
11822,RpL35A,0.026699241
10897,P58IPK,0.02667345
4104,CG32069,0.026619071
4328,CG32816,0.02657766
536,bcn92,0.026567023
457,ATPsynCF6,0.02652842
4361,CG33056,0.02649267
2149,CG13924,0.026434986
7146,CG9512,0.02642636
5991,CG5028,0.026395163
1331,CG1146,0.02635224
13004,Tpc1,0.026302507
4094,CG32036,0.026281558
8895,Gyg,0.02623326
9775,Map205,0.026222443
8095,dysf,0.026217913
8046,Droj2,0.026195135
7037,CG9095,0.026176987
13320,UQCR-14,0.026173308
22,AANAT1,0.026139997
2572,CG14907,0.026096763
10312,Naxd,0.026082754
4206,CG32373,0.02606857
4395,CG33158,0.026044782
2699,CG15247,0.026044296
12079,SdhD,0.026043002
7953,DNAlig4,0.025949541
156,agt,0.02591033
6155,CG5664,0.025868757
6772,CG8004,0.025855824
12296,SkpC,0.025849285
10007,Mondo,0.02582802
11876,RpS19a,0.025808763
2908,CG15822,0.025801577
4380,CG33111,0.025785899
9954,Mipp1,0.025785675
4079,CG31974,0.02576821
7128,CG9436,0.025729882
2906,CG1582,0.025716264
12613,ssp7,0.025696564
1684,CG12826,0.025642648
1567,CG12375,0.025639972
6338,CG6356,0.025631467
9167,Ilp7,0.025618516
7275,CG9967,0.025616305
5936,CG4858,0.025608301
13183,TwdlV,0.025549762
6669,CG7630,0.025495822
13338,Usp12-46,0.025462786
11795,RpL13,0.025457405
7479,COX8,0.025432816
8819,grim,0.02543229
8151,ed,0.025398025
11436,Ptth,0.025395155
2354,CG14401,0.025386797
4565,CG33774,0.025343861
7780,Dad,0.025325783
9616,levy,0.025323296
5655,CG44004,0.025314048
467,ATPsynO,0.025304789
3946,CG31626,0.025290966
10355,ND-B14.5B,0.025285268
990,CG10268,0.025267435
2971,CG1674,0.025263723
8771,Gr43a,0.025229873
7908,DIP-iota,0.025226155
7351,cib,0.025185067
11188,Pld3,0.02517234
1922,CG13364,0.02514038
10340,ND-39,0.025127392
5109,CG42362,0.025122374
2488,CG14695,0.025063323
8630,Gdh,0.025063194
13484,vvl,0.025061743
6339,CG6357,0.025049955
12064,Scsalpha1,0.025033731
11882,RpS24,0.025005808
9322,jagn,0.0249635
11755,roh,0.024962539
2642,CG15098,0.024934808
8976,HIP-R,0.024882935
1919,CG13360,0.024881179
11439,puc,0.02486655
9351,Jon25Bi,0.02484653
6416,CG6696,0.02481265
170,Akt1,0.02479897
13375,veli,0.024689175
12456,SP1173,0.02468495
10715,oc,0.02466717
8421,Fer2LCH,0.024644176
13170,TwdlG,0.024631642
8714,GNBP-like3,0.024628274
6505,CG7044,0.024625039
6752,CG7924,0.024615496
11801,RpL18A,0.024599796
12285,Sk1,0.024557227
3039,CG17002,0.02454783
10347,ND-75,0.024544492
10732,Ogg1,0.0245399
11334,pre-mod(mdg4)-N,0.024535805
1798,CG13071,0.024534376
8408,Fdx1,0.024503212
6749,CG7914,0.024487887
11003,Pepck1,0.024486838
8146,eco,0.024469463
8497,frma,0.024452502
640,BomBc2,0.024448069
